"code","country","region_noHICgroup","obs","CAT","1-BETA","MIX","C1P1","C2P1","C3P1","C4P1","C5P1","C1P2","C2P2","C3P2","C4P2","C5P2","C1P3","C2P3","C3P3","C4P3","C5P3","C1P4","C2P4","C3P4","C4P4","C5P4","C1P5","C2P5","C3P5","C4P5","C5P5","index","group"
"KOR","South Korea","East Asia & Pacific",2042,0.88657248,0.81434134,0.8965072,-0.032097806778657,-0.0702071534286116,0.00411833511857862,0.0683023187355807,0.048989097669929,0,-0.0782975430736137,-0.207008373626017,0.100381264818371,0.174498735449038,0,0.0130139924820387,-0.0946403309321653,-0.0980868387402409,0.130045921457775,0,0,0.0900657803934738,0.0599901909877977,-0.0297478572874772,0,0,0.0336602868419688,0.126685454624805,0,0,"Part 1"
"TWN","Taiwan-China","East Asia & Pacific",605,0.90799242,0.65937996,0.91628116,-0.0261849785182268,-0.0732518214124465,0.0452051783836601,-0.0106933393222499,0.0369134086731273,0,-0.0871828634451388,-0.219123266004137,0.0920221838436454,0.219537318567471,0,0.0358281622760458,-0.0094628099180796,-0.154238542774111,0.166701100409345,0,0,0.0526114288066285,0.0205504005524239,-0.00974623055744328,0,0,0,0.105993242335257,0,0.00048364784767484,"Part 1"
"MDV","Maldives","South Asia",424,0.86077881,0.8975096,0.85769522,-0.0950039469680876,-0.80488540187054,0.512838935468697,0.195239605249228,0.526273381772826,0.0296098024189183,-0.0391516040539848,-0.0197288898363422,-0.00119034750581975,0.0590849247057429,0.0216313026147694,0.0296098023585332,0.123126080989238,-0.198159599136164,0.159026858547505,0.052559984306337,0,0.177759769489819,0.000170953311446745,-0.0766199246924677,0,0,0.0438486052446007,0.0710516280695421,0,0.0184963401126764,"Part 1"
"THA","Thailand","East Asia & Pacific",2603,0.85132319,0.64403549,0.8561883,-0.08615745184526,-0.299563788974673,0.120124323903758,0.276260012673567,0.254402568099141,0.0423203727051256,0.0211672172257588,-0.181222321069618,0.145919081569063,0.196928755039545,0.0351300589112427,0.066318883781421,0.0439506659456742,-0.0922906040469916,0.097929601736857,0,0.0709855207855881,0.123093921851276,0.0792903120846462,-0.0713609553583487,0,0.0269100393625204,0.0226280658618805,0.0991570685162036,0,0.0280840755295421,"Part 1"
"MYS","Malaysia","East Asia & Pacific",7311,0.81607735,0.70722613,0.83347535,-0.0565157883179255,-0.218662263107777,-0.0183521123638104,0.197526220081071,0.171865151713934,0.0200310108667473,-0.0511916214008022,-0.252871516446116,0.19266081733559,0.166679592249161,0,0.0351051666397002,-0.0279229266633147,-0.0467743922461457,0.0754966641266389,0,0.0465970694916395,0.0763891832522465,0.161090898518259,-0.0905746679707854,0,0,0.00990791225178544,0.11145727952319,0,0.0421261064692695,"Part 1"
"CPV","Cabo Verde","Sub-Saharan Africa",890,0.73329896,0.6249792,0.73329896,0.129545940159133,-0.468134249663171,0.347548892028639,0.324422736051635,0.240634212923537,0.0668641205430153,0.0654079080705895,-0.137712602743391,0.072780610136056,0.104580426615279,0.063568269475453,0.0959143004756726,0.102456876315928,-0.142125520616616,0.0939692099566907,0,0.038231024420898,0.0414673674982994,0.0606512504643799,-0.0515559362399845,0,0,0,0,0,0.0789144020152358,"Part 1"
"TLS","Timor-Leste","East Asia & Pacific",2203,0.61883467,0.42376471,0.6178326,0.284455686123486,-0.46805896598389,0.1511674868675,0.415535108040951,0.267003097183502,0.10445138825796,-0.0102613123281296,-0.121137718624189,0.11653946281522,0.0841560007372081,0.0376509990231538,0.0523428063279152,-0.0165468461975594,-0.0370048588922351,0.0618014185239608,0.0390640218825878,0.0114421111482123,0.0716888687296437,0.0611641826591779,-0.0753862829592913,0.00947380622751394,0.0068770454735994,0,0.0513076686846699,0,0.0869554947368628,"Part 1"
"IRN","Iran","Middle East & North Africa",8131,0.80370659,0.65862417,0.81242365,-0.0342948998577766,-0.143580261164979,0.108572578337413,-0.0957194663204959,0.217337757076708,0.0691451053960027,0.00884722926810028,-0.0768432983462561,-0.274187485869987,0.371011484711972,0.0353222825034524,0.0857518701024814,0.146886214435569,-0.550189907213864,0.467606082417831,0,0,0,0,0,0.030719414798723,0.026009236307635,0.11912190547112,0,0,0.130239071378038,"Part 1"
"BRA","Brazil","Latin America & Caribbean",6081,0.78932136,0.64090744,0.79178441,-0.00510449646009936,-0.191562529089982,0.0152708156981871,0.295670101664666,0.136391834208057,0.0852499781720969,0.0130729373223862,-0.265550750033653,0.264406540723907,0.161850653674581,0.0324089355347402,0.0849580429129212,0.00106383896557413,-0.0433263628466194,0.0448167187125072,0.04679200414774,0.071392681426458,0.112308541850444,0.14516392624976,-0.113802571450625,0,0.0273062683402841,0.0434436981175268,0.128860212230354,0,0.135614779160439,"Part 1"
"EGY","Egypt","Middle East & North Africa",9810,0.70614994,0.60647357,0.71677732,0.161682216216035,-0.456673131901381,-0.0153185476979266,0.488134403630105,0.242232916336126,0.0988855601463945,-0.00947840322844581,-0.217150666390213,0.163448987635454,0.132508907652835,0.0503316837997568,0.0589562152751918,-0.00948091413078719,-0.0359211050376846,0.0450323589981398,0.0433883255143241,0.0540690935024728,0.0594446454191086,0.130564862056909,-0.0903348740246386,0.0197598801487531,0.0221130337177744,0.0165703994037535,0.124508281792478,0,0.158680944434997,"Part 1"
