"code","country","region_noHICgroup","obs","CAT","1-BETA","MIX","C1P1","C2P1","C3P1","C4P1","C5P1","C1P2","C2P2","C3P2","C4P2","C5P2","C1P3","C2P3","C3P3","C4P3","C5P3","C1P4","C2P4","C3P4","C4P4","C5P4","C1P5","C2P5","C3P5","C4P5","C5P5","index","group"
"KOR","South Korea","East Asia & Pacific",2042,0.88657248,0.81434134,0.8965072,0,0.0004859053476614,0.000879460485950476,0.00594714365071024,0.00299018234053212,0,0.000460758790353914,0.00487457777507741,0.0383927991266234,0.055798095222632,0,0.00016936400032256,0.00179244067350736,0.0610631563331061,0.124603543739466,0,0,0.00811184479788544,0.0757761658040704,0.37958623217889,0,0,0.00113301491028362,0.0160492044134936,0.221886120676223,0,"Part 1"
"TWN","Taiwan-China","East Asia & Pacific",605,0.90799242,0.65937996,0.91628116,0,0,0.00500937578911396,0,0.00184715521088604,0,0.00175817085070839,0.016892371047179,0.0566452892561133,0.0914068976790802,0,0.00128365721207867,0.0227367959822704,0.0696596929934763,0.16312068843459,0,0,0.00276796244107494,0.0439376535515538,0.310741450798865,0,0,0,0.0112345674207406,0.200958263640224,0.00048364784767484,"Part 1"
"MDV","Maldives","South Asia",424,0.86077881,0.8975096,0.85769522,0.030672442836266,0,0.36188165637954,0.051438646528236,0.285760465202256,0.000876740399287382,0,0.00819147418064689,0.00144565782999732,0.00481460874335322,0.00046791325281173,0.0008767403957114,0.0603787994841009,0.0248227881647306,0.0637488482517601,0.0027625519502824,0,0.0315985356490738,0.00770001418700136,0.0346393104437437,0,0,0.00192270018189683,0.00504833385133254,0.0209517747433882,0.0184963401126764,"Part 1"
"THA","Thailand","East Asia & Pacific",2603,0.85132319,0.64403549,0.8561883,0.013298684311877,0.0622765542361536,0.130052556394211,0.121899446128577,0.078404071622418,0.00179101394590074,0.030452848981962,0.0659260350630552,0.0776420289651402,0.0593203351601322,0.00123412103910738,0.00439819434601362,0.0228054545844222,0.0444131422545012,0.0417762666296838,0,0.00503894416120116,0.015152113596728,0.0385720426382716,0.07837821864381,0,0.0007241502184924,0.0005120293646496,0.0098321242367271,0.096099598216321,0.0280840755295421,"Part 1"
"MYS","Malaysia","East Asia & Pacific",7311,0.81607735,0.70722613,0.83347535,0.00230118106120524,0.00505099576877199,0.00861452562176355,0.0556487382840348,0.037558666862394,0.00040124139634375,0.0074723583285822,0.0171126374897017,0.105693772105206,0.058752341059031,0,0.00123237272480112,0.0109438577813611,0.0890520669185616,0.0744291471423696,0,0.00217128688520868,0.0058353073179453,0.123646123896509,0.231412142989532,0,0,9.816672518908e-05,0.0124227251587106,0.150150350068155,0.0421261064692695,"Part 1"
"CPV","Cabo Verde","Sub-Saharan Africa",890,0.73329896,0.6249792,0.73329896,0.1717823073597,0.129825471749662,0.302381575005325,0.14564525836622,0.0621614664488493,0.00447081061599088,0.0225260079411496,0.0113489806841231,0.020118647771959,0.0132404777038267,0.00404092488410381,0.0091995530357376,0.0391195934616499,0.0197747400513715,0.0187430132032819,0,0.0014616112282713,0.00171954256723902,0.0123807066788419,0.0100593245768901,0,0,0,0,0,0.0789144020152358,"Part 1"
"TLS","Timor-Leste","East Asia & Pacific",2203,0.61883467,0.42376471,0.6178326,0.340335279763011,0.166159553439525,0.117323048644308,0.196282403378566,0.0734728194131506,0.0109100925090151,0.00401248651607149,0.00948379734984083,0.0218881325235163,0.00788319302257723,0.00141759772744153,0.00273976937428164,0.00101628500527608,0.0113889673474379,0.0068882246159154,0.0015259978056433,0.000130921907528044,0.00513929389973608,0.0121701460515866,0.00519499645631272,8.9753004436482e-05,4.7293754445954e-05,0,0.00263247686585586,0.00186745044017934,0.0869554947368628,"Part 1"
"IRN","Iran","Middle East & North Africa",8131,0.80370659,0.65862417,0.81242365,0.00991614381143375,0.042239285018523,0.079833316038298,0,0.047235700651134,0.00478104560022432,0.0393811499914392,0.177668429090797,0,0.137649521788182,0.0012476636412537,0.00735338322607284,0.109086761118746,0,0.218655448314151,0,0,0,0,0,0.000943682445576,0.0006764803733064,0.0141900283630704,0,0.109141964444722,0.130239071378038,"Part 1"
"BRA","Brazil","Latin America & Caribbean",6081,0.78932136,0.64090744,0.79178441,0.0327101538975173,0.0940233470328944,0.0664415182285833,0.12666097256627,0.0259900389663872,0.007267558778343,0.032786972115327,0.048925014881724,0.148449925910335,0.044806475491911,0.00105033910249495,0.00721786905559376,0.0082093793360445,0.0420375523506726,0.0216621746741303,0.00218949165216212,0.00509691496125972,0.0126132085725729,0.0798357667760116,0.0890200987930156,0,0.0007456322906716,0.0018873549061268,0.016604954296052,0.083767260773264,0.135614779160439,"Part 1"
"EGY","Egypt","Middle East & North Africa",9810,0.70614994,0.60647357,0.71677732,0.168307008159804,0.0671575103551472,0.0357109441094365,0.280581882794356,0.0661138764348696,0.0097783540054662,0.00771760149165656,0.00465734010698174,0.0490692305232758,0.0235054197886049,0.0025332783941187,0.00347583531957476,0.00391394099238578,0.0280695471540098,0.0139084901779328,0.00188254679093695,0.00292346687217915,0.00353366586900355,0.0625006547981285,0.0718103158124025,0.000390452863493086,0.000488986260203429,0.000274578136399916,0.015502312234915,0.0761927522979505,0.158680944434997,"Part 1"
